iter	Passed	Remaining
487	678	711
488	680	710
489	681	709
490	682	707
491	683	705
492	684	704
493	686	702
494	687	701
495	688	699
496	689	697
497	690	695
498	691	694
499	693	693
500	695	692
501	696	690
502	697	689
503	698	687
504	699	685
505	700	684
506	701	682
507	702	680
508	703	678
509	704	677
510	705	675
511	707	673
512	708	672
513	709	671
514	710	669
515	712	667
516	712	666
517	713	664
518	715	662
519	716	661
520	717	659
521	718	657
522	719	656
523	720	654
524	721	652
525	722	651
526	724	649
527	725	648
528	726	646
529	727	644
530	728	643
531	729	641
532	730	639
533	731	638
534	732	636
535	733	634
536	734	633
537	735	631
538	736	629
539	737	628
540	739	627
541	740	625
542	741	624
543	742	622
544	743	621
545	745	619
546	746	618
547	747	616
548	748	614
549	749	613
550	750	611
551	751	610
552	753	608
553	754	607
554	755	605
555	756	604
556	757	602
557	758	600
558	768	606
559	769	604
560	771	603
561	772	601
562	773	600
563	774	598
564	775	596
565	776	595
566	777	593
567	778	591
568	779	590
569	780	588
570	781	587
571	782	585
572	783	584
573	784	582
574	785	580
575	786	579
576	787	577
577	788	575
578	789	574
579	790	572
580	791	570
581	792	569
582	793	567
583	794	565
584	795	564
585	796	562
586	797	561
587	799	559
588	800	558
589	801	556
590	802	555
591	803	553
592	804	551
593	805	550
594	806	548
595	807	547
596	808	545
597	809	544
598	810	542
599	811	541
600	813	539
601	814	538
602	815	536
603	816	535
604	817	533
605	818	532
606	820	531
607	821	529
608	822	528
609	823	526
610	824	524
611	825	523
612	826	521
613	827	520
614	829	519
615	830	517
616	831	516
617	832	514
618	833	513
619	835	511
620	836	510
621	837	508
622	838	507
623	839	505
624	840	504
625	841	502
626	843	501
627	844	500
628	845	498
629	846	497
630	847	495
631	848	493
632	849	492
633	850	490
634	851	489
635	852	487
636	853	486
637	854	484
638	855	483
639	856	481
640	858	480
641	859	479
642	860	477
643	861	475
644	862	474
645	863	472
646	863	471
647	864	469
648	865	468
649	866	466
650	867	465
651	868	463
652	869	462
653	870	460
654	871	459
655	873	457
656	874	456
657	875	454
658	876	453
659	877	451
660	878	450
661	879	448
662	880	447
663	881	446
664	882	444
665	883	443
666	884	441
667	885	440
668	886	438
669	887	437
670	889	436
671	890	434
672	891	433
673	892	431
674	893	430
675	894	428
676	895	427
677	896	425
678	897	424
679	898	423
680	899	421
681	900	420
682	902	418
683	903	417
684	904	416
685	905	414
686	907	413
687	908	411
688	909	410
689	910	408
690	911	407
691	912	406
692	913	404
693	914	403
694	915	401
695	916	400
696	917	399
697	918	397
698	920	396
699	921	394
700	922	393
701	923	391
702	924	390
703	925	389
704	926	387
705	927	386
706	928	384
707	929	383
708	930	382
709	932	380
710	933	379
711	934	378
712	935	376
713	936	375
714	937	373
715	938	372
716	939	370
717	940	369
718	942	368
719	943	366
720	944	365
721	944	363
722	945	362
723	947	361
724	948	359
725	949	358
726	950	356
727	951	355
728	952	353
729	952	352
730	953	350
731	954	349
732	956	348
733	957	346
734	958	345
735	959	344
736	959	342
737	961	341
738	962	340
739	964	338
740	965	337
741	966	336
742	967	334
743	968	333
744	969	331
745	970	330
746	972	329
747	973	327
748	974	326
749	975	325
750	976	323
751	978	322
752	979	321
753	980	319
754	981	318
755	982	316
756	982	315
757	984	314
758	985	312
759	986	311
760	987	310
761	988	308
762	989	307
763	990	306
764	992	304
765	993	303
766	994	302
767	995	300
768	996	299
769	997	297
770	998	296
771	999	295
772	1000	293
773	1001	292
774	1003	291
775	1004	289
776	1005	288
777	1006	287
778	1008	286
779	1009	284
780	1010	283
781	1011	282
782	1012	280
783	1013	279
784	1014	277
785	1016	276
786	1017	275
787	1018	273
788	1019	272
789	1020	271
790	1021	269
791	1022	268
792	1023	267
793	1024	265
794	1025	264
795	1026	263
796	1028	261
797	1029	260
798	1030	259
799	1031	257
800	1032	256
801	1033	255
802	1034	253
803	1036	252
804	1037	251
805	1039	250
806	1040	248
807	1041	247
808	1042	246
809	1043	244
810	1045	243
811	1046	242
812	1047	240
813	1048	239
814	1049	238
815	1050	236
816	1052	235
817	1053	234
818	1055	233
819	1056	231
820	1057	230
821	1059	229
822	1060	228
823	1061	226
824	1062	225
825	1064	224
826	1065	222
827	1066	221
828	1067	220
829	1069	219
830	1071	217
831	1072	216
832	1073	215
833	1075	213
834	1076	212
835	1077	211
836	1078	210
837	1079	208
838	1081	207
839	1082	206
840	1084	204
841	1085	203
842	1086	202
843	1087	201
844	1089	199
845	1090	198
846	1091	197
847	1092	195
848	1093	194
849	1094	193
850	1095	191
851	1096	190
852	1098	189
853	1098	187
854	1100	186
855	1101	185
856	1102	183
857	1103	182
858	1104	181
859	1105	179
860	1106	178
861	1107	177
862	1108	175
863	1109	174
864	1110	173
865	1111	171
866	1112	170
867	1113	169
868	1114	168
869	1115	166
870	1116	165
871	1117	164
872	1118	162
873	1119	161
874	1120	160
875	1122	158
876	1123	157
877	1124	156
878	1125	154
879	1127	153
880	1128	152
881	1129	151
882	1130	149
883	1131	148
884	1132	147
885	1133	145
886	1134	144
887	1135	143
888	1136	141
889	1137	140
890	1138	139
891	1139	137
892	1140	136
893	1142	135
894	1143	134
895	1144	132
896	1145	131
897	1146	130
898	1148	129
899	1149	127
900	1150	126
901	1151	125
902	1152	123
903	1153	122
904	1154	121
905	1155	119
906	1156	118
907	1157	117
908	1159	116
909	1160	114
910	1161	113
911	1162	112
912	1163	110
913	1164	109
914	1165	108
915	1167	107
916	1168	105
917	1169	104
918	1170	103
919	1171	101
920	1173	100
921	1174	99
922	1175	98
923	1176	96
924	1178	95
925	1179	94
926	1180	92
927	1181	91
928	1182	90
929	1183	89
930	1185	87
931	1186	86
932	1187	85
933	1188	84
934	1189	82
935	1191	81
936	1192	80
937	1193	78
938	1194	77
939	1195	76
940	1196	75
941	1197	73
942	1198	72
943	1200	71
944	1201	69
945	1203	68
946	1204	67
947	1205	66
948	1206	64
949	1207	63
950	1208	62
951	1209	60
952	1210	59
953	1211	58
954	1212	57
955	1214	55
956	1215	54
957	1216	53
958	1218	52
959	1219	50
960	1220	49
961	1221	48
962	1222	46
963	1223	45
964	1224	44
965	1226	43
966	1227	41
967	1229	40
968	1232	39
969	1233	38
970	1234	36
971	1236	35
972	1237	34
973	1238	33
974	1239	31
975	1240	30
976	1241	29
977	1242	27
978	1243	26
979	1245	25
980	1246	24
981	1247	22
982	1249	21
983	1250	20
984	1251	19
985	1252	17
986	1253	16
987	1254	15
988	1255	13
989	1256	12
990	1257	11
991	1258	10
992	1260	8
993	1261	7
994	1262	6
995	1264	5
996	1265	3
997	1266	2
998	1266	1
999	1267	0
